name,image url,audio url
cake pan,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/cake pan.png,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/cake pan.mp3
can opener,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/can opener.png,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/can opener.mp3
carving knife,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/carving knife.png,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/carving knife.mp3
casserole dish,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/casserole dish.png,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/casserole dish.mp3
colander,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/colander.png,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/colander.mp3
cookie sheet,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/cookie sheet.png,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/cookie sheet.mp3
double boiler,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/double boiler.png,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/double boiler.mp3
egg beater,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/egg beater.png,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/egg beater.mp3
frying pan,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/frying pan.png,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/frying pan.mp3
garlic press,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/garlic press.png,https://raw.githubusercontent.com/jasoncai897/kitchen-cards/main/garlic press.mp3
